球员,球队,对阵,时间,状态,首发,出场时间,三分球命中,三分球出手,两分球命中,两分球出手,罚球命中,罚球出手,进攻,篮板,助攻,抢断,盖帽,失误,犯规,得分,编号
易建联,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,35.8,0,0,7,8,2,4,1,12,2,1,2,1,2,16,100004
任骏飞,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,30.2,3,6,5,8,0,0,1,2,1,3,0,0,3,19,500672
马尚·布鲁克斯,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,36.6,2,10,8,10,5,5,0,3,9,2,0,1,3,27,503170
赵睿,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,31.2,0,3,5,9,0,1,2,7,4,2,0,0,3,10,501938
胡明轩,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,13.4,1,3,0,1,0,0,0,1,0,0,0,1,1,3,502738
苏伟,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,4.0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,101763
王薪凯,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,9.9,0,1,0,0,1,2,0,1,1,0,0,0,1,1,501675
曾繁日,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,11.2,0,0,2,3,2,4,1,1,0,0,1,0,3,6,503258
克拉伦斯-威姆斯,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,31.9,1,5,5,9,1,2,0,7,3,1,0,3,2,14,504152
杜润旺,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,14.8,0,2,2,2,2,2,2,2,0,0,0,4,4,6,502847
徐杰,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,21.0,1,3,0,1,2,2,0,0,1,2,0,0,2,5,100000437
韩德君,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,24.2,0,0,4,6,2,3,3,9,0,0,1,2,4,10,500345
布兰登-巴斯,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,30.6,0,0,5,15,10,11,3,12,1,1,2,0,2,20,504142
刘志轩,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,16.9,1,1,1,1,0,0,1,2,0,0,0,1,3,5,501170
郭艾伦,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,30.2,0,2,4,8,4,4,0,4,5,0,0,6,4,12,501070
赵继伟,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,33.1,0,3,1,2,2,2,0,3,1,2,0,0,2,4,501736
李晓旭,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,28.9,0,0,3,8,0,0,2,4,2,1,1,0,0,6,100130
丛明晨,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,12.9,2,2,0,0,0,0,1,3,0,0,0,0,1,6,501739
贺天举,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,12.3,0,2,0,0,1,2,2,2,0,0,0,1,2,1,500678
高诗岩,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,9.4,0,1,0,1,0,0,0,1,0,1,0,0,3,0,501726
兰斯-史蒂芬森,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,41.4,3,11,10,17,5,7,1,3,3,2,0,3,2,34,100000374
柳伟,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,14.9,0,1,1,4,0,2,1,3,1,0,0,0,3,2,100164
易立,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,29.5,0,4,3,6,3,4,0,2,4,1,1,2,3,9,100019
黄荣奇,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,13.8,1,2,3,3,0,0,2,3,1,0,0,1,4,9,502861
史鸿飞,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,32.0,2,5,0,1,1,2,0,0,3,3,0,3,4,7,501345
吴冠希,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,31.9,0,1,6,9,3,5,1,9,0,1,2,2,5,15,501882
侯逸凡,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,16.9,1,2,0,0,0,0,0,0,0,0,0,0,1,3,504101
赵率舟,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,21.9,1,2,0,1,0,0,1,2,2,1,0,0,3,3,501737
安东尼奥-布莱克尼,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,35.9,3,7,9,16,7,8,1,4,3,0,3,3,3,34,100026409
王洪,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,16.1,0,1,1,2,2,2,0,2,0,0,0,0,1,4,503544
张大宇,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,28.1,1,2,2,5,0,0,2,7,3,2,0,1,4,7,100085
朱旭航,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,36.1,4,9,3,4,0,0,1,6,1,2,0,4,5,18,501546
吴前,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,33.0,0,2,1,3,6,8,0,2,6,1,0,3,6,8,501409
程帅澎,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,14.2,0,2,0,0,0,0,0,1,0,0,0,0,6,0,504070
马库斯-邓蒙,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,37.6,3,6,2,8,10,12,1,3,3,0,0,2,1,23,503425
张正昕,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,3.6,0,0,0,1,0,0,0,0,0,0,0,1,1,0,501991
刘泽一,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,28.2,0,0,4,9,0,1,2,5,0,2,0,2,4,8,502908
西尔文-兰兹博格,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,34.4,4,8,7,14,7,8,6,14,4,1,0,1,1,33,100026427
王奕博,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,24.6,0,1,0,0,0,0,1,1,2,1,0,1,1,0,502911
林孝天,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502907
李原宇,四川,新疆,2019-11-02 19:35,87:134(已结束),1,33.5,0,4,5,16,3,4,3,8,0,2,0,2,6,13,501166
左朕年,四川,新疆,2019-11-02 19:35,87:134(已结束),1,29.2,1,3,2,5,3,3,2,5,3,1,0,1,2,10,502024
托马斯-罗宾逊,四川,新疆,2019-11-02 19:35,87:134(已结束),1,35.3,0,2,8,16,6,6,6,15,4,0,2,3,5,22,100016394
孟达,四川,新疆,2019-11-02 19:35,87:134(已结束),1,28.0,2,6,2,7,0,0,0,3,4,1,0,2,1,10,100026
王政博,四川,新疆,2019-11-02 19:35,87:134(已结束),1,16.4,1,4,0,0,2,2,0,0,1,2,0,0,5,5,501734
张松涛,四川,新疆,2019-11-02 19:35,87:134(已结束),0,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101677
于刚,四川,新疆,2019-11-02 19:35,87:134(已结束),0,3.3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,501021
闵庆飞,四川,新疆,2019-11-02 19:35,87:134(已结束),0,10.8,0,2,2,4,0,0,1,2,0,0,0,0,4,4,501673
陈辰,四川,新疆,2019-11-02 19:35,87:134(已结束),0,27.1,2,3,1,5,1,1,2,7,0,1,0,2,4,9,502296
考特尼·福特森,四川,新疆,2019-11-02 19:35,87:134(已结束),0,27.2,1,3,2,7,7,7,0,2,3,1,0,2,3,14,503548
胡林森,四川,新疆,2019-11-02 19:35,87:134(已结束),0,15.3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,502860
袁堂文,四川,新疆,2019-11-02 19:35,87:134(已结束),0,8.9,0,2,0,1,0,2,0,0,1,0,0,2,1,0,100016831
周琦,新疆,四川,2019-11-02 19:35,87:134(已结束),1,27.3,3,7,5,7,8,11,2,12,2,1,5,2,4,27,501738
范子铭,新疆,四川,2019-11-02 19:35,87:134(已结束),1,15.9,0,0,3,3,5,6,5,8,3,0,0,0,2,11,501725
阿不都沙拉木,新疆,四川,2019-11-02 19:35,87:134(已结束),1,27.6,0,2,4,6,2,2,0,4,3,1,0,0,0,10,501983
西热力江,新疆,四川,2019-11-02 19:35,87:134(已结束),1,26.1,5,8,1,1,0,0,1,4,2,0,0,1,2,17,500555
凯-费尔德,新疆,四川,2019-11-02 19:35,87:134(已结束),1,24.9,2,4,4,9,5,5,0,6,8,1,1,5,1,19,100023572
贾内尔-斯托克斯,新疆,四川,2019-11-02 19:35,87:134(已结束),0,31.2,1,2,6,12,2,5,2,9,3,1,1,2,5,17,504151
俞长栋,新疆,四川,2019-11-02 19:35,87:134(已结束),0,23.8,2,2,1,3,2,6,2,4,0,1,0,0,4,10,501179
唐才育,新疆,四川,2019-11-02 19:35,87:134(已结束),0,25.3,0,4,1,2,3,4,1,2,1,0,0,0,2,5,502749
齐麟,新疆,四川,2019-11-02 19:35,87:134(已结束),0,9.2,0,0,1,2,0,0,1,1,1,0,0,0,0,2,502784
曾令旭,新疆,四川,2019-11-02 19:35,87:134(已结束),0,13.8,0,1,2,3,2,2,1,3,2,2,0,0,0,6,501329
西尔扎提,新疆,四川,2019-11-02 19:35,87:134(已结束),0,9.2,0,0,2,3,0,0,0,3,1,0,0,1,4,4,100016514
陶汉林,山东,八一,2019-11-02 19:35,108:95(已结束),1,28.0,0,0,4,7,4,8,1,7,0,0,3,0,6,12,500684
李敬宇,山东,八一,2019-11-02 19:35,108:95(已结束),1,26.8,0,1,1,2,0,2,0,3,2,0,0,0,3,2,500331
詹姆斯-梅斯,山东,八一,2019-11-02 19:35,108:95(已结束),1,17.7,2,2,7,12,3,7,1,9,1,2,2,1,3,23,100012421
张庆鹏,山东,八一,2019-11-02 19:35,108:95(已结束),1,36.2,2,5,1,2,1,2,0,3,9,3,0,4,5,9,100126
陈培东,山东,八一,2019-11-02 19:35,108:95(已结束),1,18.0,1,2,1,3,0,0,0,0,1,1,0,2,0,5,502890
贾诚,山东,八一,2019-11-02 19:35,108:95(已结束),0,29.9,0,1,7,8,1,1,4,9,1,0,1,3,4,15,501161
朱荣振,山东,八一,2019-11-02 19:35,108:95(已结束),0,16.1,0,0,5,9,1,3,1,3,0,0,2,3,3,11,504067
刘大鹏,山东,八一,2019-11-02 19:35,108:95(已结束),0,15.0,0,2,0,0,0,0,0,0,2,1,0,1,1,0,500602
侯沛佐,山东,八一,2019-11-02 19:35,108:95(已结束),0,22.1,0,0,0,2,0,0,0,3,2,0,0,1,0,0,100012178
莱斯特·哈德森,山东,八一,2019-11-02 19:35,108:95(已结束),0,30.3,7,14,3,4,4,4,1,12,8,4,0,1,3,31,501217
许钟豪,八一,山东,2019-11-02 19:35,108:95(已结束),1,31.5,0,1,2,7,0,1,2,8,1,0,1,0,3,4,500535
刘航初,八一,山东,2019-11-02 19:35,108:95(已结束),1,26.5,3,8,5,7,0,0,0,3,1,0,0,4,5,19,501144
雷蒙,八一,山东,2019-11-02 19:35,108:95(已结束),1,31.4,1,3,2,9,2,2,3,10,2,3,0,2,2,9,501772
田宇翔,八一,山东,2019-11-02 19:35,108:95(已结束),1,27.8,0,1,1,4,7,8,0,1,1,2,1,1,1,9,501335
王俊杰,八一,山东,2019-11-02 19:35,108:95(已结束),1,32.7,0,1,3,6,4,4,0,1,4,3,0,0,1,10,100016488
余晨,八一,山东,2019-11-02 19:35,108:95(已结束),0,16.5,0,1,1,2,0,0,0,4,1,0,0,1,5,2,501153
付豪,八一,山东,2019-11-02 19:35,108:95(已结束),0,20.0,0,1,3,8,4,6,3,3,1,0,0,1,2,10,501770
宁鸿宇,八一,山东,2019-11-02 19:35,108:95(已结束),0,1.5,0,1,1,1,1,2,1,1,0,0,0,0,0,3,501779
罗凯文,八一,山东,2019-11-02 19:35,108:95(已结束),0,15.5,0,1,1,2,0,0,1,3,0,0,1,1,1,2,501777
阿尔斯兰,八一,山东,2019-11-02 19:35,108:95(已结束),0,20.2,2,4,2,4,4,4,0,1,2,1,0,1,2,14,501769
郭昊文,八一,山东,2019-11-02 19:35,108:95(已结束),0,16.4,0,1,4,8,5,8,0,2,1,0,0,0,4,13,502759
桑尼,北控,深圳,2019-11-02 19:35,108:103(已结束),1,30.8,0,1,5,11,8,8,3,12,1,0,0,1,1,18,501255
许梦君,北控,深圳,2019-11-02 19:35,108:103(已结束),1,5.5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,502697
王少杰,北控,深圳,2019-11-02 19:35,108:103(已结束),1,24.8,0,0,6,8,0,0,2,3,0,2,1,0,0,12,100012401
孙悦,北控,深圳,2019-11-02 19:35,108:103(已结束),1,31.3,3,9,2,4,0,0,1,5,4,2,1,0,4,13,101492
凯尔-弗格,北控,深圳,2019-11-02 19:35,108:103(已结束),1,38.8,4,9,5,12,13,15,0,9,10,1,0,3,5,35,100002143
贾森·汤普森,北控,深圳,2019-11-02 19:35,108:103(已结束),0,30.0,0,0,3,9,5,6,0,7,0,0,2,1,3,11,503568
孙桐林,北控,深圳,2019-11-02 19:35,108:103(已结束),0,14.0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,501177
高尚,北控,深圳,2019-11-02 19:35,108:103(已结束),0,10.7,0,1,0,1,0,0,1,2,1,1,0,0,2,0,501401
张帆,北控,深圳,2019-11-02 19:35,108:103(已结束),0,23.4,1,2,3,4,0,0,0,1,2,0,0,2,2,9,501781
王子瑞,北控,深圳,2019-11-02 19:35,108:103(已结束),0,30.8,2,4,2,4,0,0,0,3,0,1,0,2,5,10,501301
李慕豪,深圳,北控,2019-11-02 19:35,108:103(已结束),1,25.2,0,0,4,7,0,0,1,6,0,0,3,0,4,8,501178
卢艺文,深圳,北控,2019-11-02 19:35,108:103(已结束),1,28.1,1,8,1,2,0,0,0,5,2,0,0,1,2,5,501672
顾全,深圳,北控,2019-11-02 19:35,108:103(已结束),1,35.9,2,6,1,3,3,4,0,3,1,1,0,1,2,11,501176
贺希宁,深圳,北控,2019-11-02 19:35,108:103(已结束),1,22.9,0,1,1,1,0,0,1,4,1,0,0,1,3,2,501994
皮埃尔-杰克逊,深圳,北控,2019-11-02 19:35,108:103(已结束),1,39.0,7,13,1,6,7,8,1,4,9,2,0,5,3,30,100014108
沈梓捷,深圳,北控,2019-11-02 19:35,108:103(已结束),0,29.2,0,0,5,7,3,6,3,8,1,1,2,2,5,13,501674
韩驭丰,深圳,北控,2019-11-02 19:35,108:103(已结束),0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502848
沙巴兹-穆罕穆德,深圳,北控,2019-11-02 19:35,108:103(已结束),0,33.0,1,5,8,14,8,10,2,9,1,0,1,5,3,27,100014197
杨林祎,深圳,北控,2019-11-02 19:35,108:103(已结束),0,4.6,1,1,0,0,0,0,0,2,0,0,0,0,0,3,504102
白昊天,深圳,北控,2019-11-02 19:35,108:103(已结束),0,7.7,0,0,0,2,0,0,0,1,1,0,0,0,1,0,502845
容子峰,深圳,北控,2019-11-02 19:35,108:103(已结束),0,10.9,0,0,2,3,0,0,0,2,2,2,0,0,2,4,504047
达卡里-约翰逊,青岛,吉林,2019-11-02 19:35,103:105(已结束),1,38.8,0,0,9,12,5,10,7,19,4,1,3,1,4,23,100014112
翟逸,青岛,吉林,2019-11-02 19:35,103:105(已结束),1,31.4,0,0,5,7,4,4,1,2,2,3,0,3,5,14,501470
赵泰隆,青岛,吉林,2019-11-02 19:35,103:105(已结束),1,18.6,0,3,3,7,0,0,0,0,0,0,0,1,3,6,500382
王庆明,青岛,吉林,2019-11-02 19:35,103:105(已结束),1,31.6,1,3,0,4,0,0,0,6,3,1,0,0,1,3,501485
林韦翰,青岛,吉林,2019-11-02 19:35,103:105(已结束),1,27.3,2,3,2,3,0,0,0,3,3,1,0,2,2,10,100024774
刘传兴,青岛,吉林,2019-11-02 19:35,103:105(已结束),0,7.7,0,0,2,4,0,0,2,4,0,0,0,0,1,4,100013553
焦海龙,青岛,吉林,2019-11-02 19:35,103:105(已结束),0,17.9,0,1,3,4,0,0,0,0,0,1,1,1,1,6,502668
达柳斯·亚当斯,青岛,吉林,2019-11-02 19:35,103:105(已结束),0,30.6,1,13,5,10,4,5,2,14,5,3,0,4,2,17,503547
杨金蒙,青岛,吉林,2019-11-02 19:35,103:105(已结束),0,11.2,0,2,0,2,0,0,0,0,0,0,0,0,4,0,501399
张骋宇,青岛,吉林,2019-11-02 19:35,103:105(已结束),0,25.1,2,3,6,7,2,2,0,0,0,1,0,0,1,20,500660
多米尼克·琼斯,吉林,青岛,2019-11-02 19:35,103:105(已结束),1,39.2,0,8,9,19,10,12,1,4,8,2,0,3,4,28,501896
钟诚,吉林,青岛,2019-11-02 19:35,103:105(已结束),1,27.4,2,5,1,1,0,0,1,4,1,1,2,3,5,8,500523
柴长易,吉林,青岛,2019-11-02 19:35,103:105(已结束),1,11.5,0,1,0,1,0,0,1,2,0,0,0,2,1,0,501338
代怀博,吉林,青岛,2019-11-02 19:35,103:105(已结束),1,34.9,4,5,1,1,0,0,0,4,1,0,0,1,1,14,501413
姜宇星,吉林,青岛,2019-11-02 19:35,103:105(已结束),1,42.2,1,1,10,12,2,3,2,5,1,2,2,2,2,25,501650
伊莱·霍尔曼,吉林,青岛,2019-11-02 19:35,103:105(已结束),0,27.9,0,0,5,11,2,3,1,11,0,1,2,1,5,12,502309
张彪,吉林,青岛,2019-11-02 19:35,103:105(已结束),0,9.4,0,0,0,1,0,0,1,2,1,0,0,0,1,0,500526
崔晋铭,吉林,青岛,2019-11-02 19:35,103:105(已结束),0,36.1,0,3,7,11,3,4,0,5,5,1,0,1,2,17,501506
姜伟泽,吉林,青岛,2019-11-02 19:35,103:105(已结束),0,11.4,0,1,0,1,1,2,0,3,0,1,0,2,2,1,100013041
李京龙,广厦,福建,2019-11-02 19:35,93:90(已结束),1,32.8,1,5,0,1,0,0,0,4,0,0,0,3,1,3,501406
苏若禹,广厦,福建,2019-11-02 19:35,93:90(已结束),1,22.2,0,0,1,3,0,0,1,4,0,1,0,2,2,2,501181
胡金秋,广厦,福建,2019-11-02 19:35,93:90(已结束),1,39.9,0,1,13,18,2,2,3,13,2,1,2,4,1,28,502672
刘铮,广厦,福建,2019-11-02 19:35,93:90(已结束),1,35.4,0,1,2,4,0,0,1,4,1,2,0,0,4,4,503536
艾伦-杰克逊,广厦,福建,2019-11-02 19:35,93:90(已结束),1,43.0,3,5,10,17,3,4,3,7,12,1,1,3,3,32,100002135
杰伦-雷诺兹,广厦,福建,2019-11-02 19:35,93:90(已结束),0,24.3,0,0,3,13,4,4,6,11,2,5,0,2,2,10,100026568
孙铭徽,广厦,福建,2019-11-02 19:35,93:90(已结束),0,34.7,0,4,5,12,2,4,3,4,0,2,0,4,3,12,501747
朱俊龙,广厦,福建,2019-11-02 19:35,93:90(已结束),0,7.8,0,1,1,1,0,0,0,0,0,0,0,0,2,2,502774
埃里克-格林,福建,广厦,2019-11-02 19:35,93:90(已结束),1,29.7,1,5,5,9,2,2,1,5,3,1,0,1,1,15,100026973
王哲林,福建,广厦,2019-11-02 19:35,93:90(已结束),1,39.7,0,1,8,14,0,4,6,17,1,2,2,3,2,16,501537
陈林坚,福建,广厦,2019-11-02 19:35,93:90(已结束),1,44.6,4,9,4,7,1,3,1,3,2,2,0,5,3,21,501476
黄毅超,福建,广厦,2019-11-02 19:35,93:90(已结束),1,6.4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,502311
孙椿棚,福建,广厦,2019-11-02 19:35,93:90(已结束),1,12.8,0,0,0,0,0,0,2,4,0,0,0,1,1,0,501704
孙喆,福建,广厦,2019-11-02 19:35,93:90(已结束),0,8.3,0,0,1,2,3,4,1,2,0,1,1,1,2,5,500441
刁成灏,福建,广厦,2019-11-02 19:35,93:90(已结束),0,7.8,1,4,0,0,0,0,1,1,1,0,0,0,0,3,501695
胡珑贸,福建,广厦,2019-11-02 19:35,93:90(已结束),0,24.3,2,4,1,1,0,0,0,2,2,0,0,3,4,8,503543
李江淮,福建,广厦,2019-11-02 19:35,93:90(已结束),0,25.0,0,2,0,1,0,0,2,4,5,1,0,1,2,0,503541
泰-劳森,福建,广厦,2019-11-02 19:35,93:90(已结束),0,41.5,2,6,6,12,4,4,0,5,7,7,0,4,4,22,100002149
多纳塔斯-莫泰尤纳斯,上海,同曦,2019-11-02 20:00,93:84(已结束),1,40.8,1,4,7,16,2,4,3,15,6,1,1,3,2,19,100002150
蔡亮,上海,同曦,2019-11-02 20:00,93:84(已结束),1,38.7,0,0,2,5,0,0,3,5,2,1,0,1,2,4,500367
鞠明欣,上海,同曦,2019-11-02 20:00,93:84(已结束),1,15.7,0,1,2,5,1,5,0,1,1,2,0,0,1,5,501398
罗旭东,上海,同曦,2019-11-02 20:00,93:84(已结束),1,25.0,1,1,1,3,1,2,1,3,3,0,0,2,5,6,100072
施宇晨,上海,同曦,2019-11-02 20:00,93:84(已结束),1,24.8,1,1,4,4,0,0,3,3,1,2,1,3,3,11,502764
董瀚麟,上海,同曦,2019-11-02 20:00,93:84(已结束),0,13.6,0,0,1,3,3,6,0,1,0,1,0,2,2,5,500539
张春军,上海,同曦,2019-11-02 20:00,93:84(已结束),0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,501156
李根,上海,同曦,2019-11-02 20:00,93:84(已结束),0,18.3,0,2,3,3,2,2,0,3,2,0,0,2,1,8,500536
詹姆斯-纳纳利,上海,同曦,2019-11-02 20:00,93:84(已结束),0,31.2,1,3,6,11,3,4,1,6,2,1,0,1,1,18,100026410
罗汉琛,上海,同曦,2019-11-02 20:00,93:84(已结束),0,29.1,1,3,5,8,4,4,0,1,3,2,0,2,4,17,501532
哈达迪,同曦,上海,2019-11-02 20:00,93:84(已结束),1,29.7,1,1,3,10,0,0,6,24,1,1,4,5,4,9,501880
宋建骅,同曦,上海,2019-11-02 20:00,93:84(已结束),1,19.5,0,3,0,0,0,0,0,1,0,1,0,1,2,0,501380
郭一飞,同曦,上海,2019-11-02 20:00,93:84(已结束),1,37.2,1,4,5,7,0,2,5,7,0,0,0,1,4,13,501477
贝南-雅克查理,同曦,上海,2019-11-02 20:00,93:84(已结束),1,38.8,4,12,1,4,2,2,3,5,3,2,0,2,2,16,100001018
约瑟夫-杨,同曦,上海,2019-11-02 20:00,93:84(已结束),1,39.5,2,7,9,20,3,3,0,1,6,3,0,4,4,27,100014107
买尔丹·吐尔逊,同曦,上海,2019-11-02 20:00,93:84(已结束),0,11.8,0,0,1,1,0,0,1,2,2,0,0,0,4,2,500516
卢伟,同曦,上海,2019-11-02 20:00,93:84(已结束),0,14.6,1,3,0,1,0,0,0,0,0,1,0,0,0,3,100128
于长春,同曦,上海,2019-11-02 20:00,93:84(已结束),0,28.5,2,4,2,3,2,2,1,2,2,1,0,2,3,12,500701
王睿,同曦,上海,2019-11-02 20:00,93:84(已结束),0,17.3,0,1,1,1,0,0,0,1,0,1,1,2,5,2,502873
冯欣,同曦,上海,2019-11-02 20:00,93:84(已结束),0,3.1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,501031
时德帅,天津,北京,2019-11-03 19:35,81:103(已结束),1,39.4,1,3,3,5,5,5,2,3,0,0,0,2,1,14,501763
马尔科-托多罗维奇,天津,北京,2019-11-03 19:35,81:103(已结束),1,37.3,0,0,7,12,6,7,4,10,6,3,1,3,3,20,100025549
孟子凯,天津,北京,2019-11-03 19:35,81:103(已结束),1,32.4,0,2,3,4,2,4,2,3,0,1,2,0,4,8,501762
李荣培,天津,北京,2019-11-03 19:35,81:103(已结束),1,20.6,2,6,0,2,1,2,1,3,2,1,1,3,4,7,501761
潘宁,天津,北京,2019-11-03 19:35,81:103(已结束),0,15.5,0,0,1,2,0,0,1,5,0,1,1,1,0,2,501701
金鑫,天津,北京,2019-11-03 19:35,81:103(已结束),0,11.8,0,0,3,4,0,0,2,2,0,1,0,0,4,6,501760
何思雨,天津,北京,2019-11-03 19:35,81:103(已结束),0,8.8,0,2,0,2,0,0,0,0,0,0,0,0,1,0,502630
史仪,天津,北京,2019-11-03 19:35,81:103(已结束),0,4.7,0,1,0,0,0,0,0,2,0,0,0,2,0,0,502748
刘帅,天津,北京,2019-11-03 19:35,81:103(已结束),0,22.8,1,1,1,3,2,4,0,2,1,1,0,0,1,7,100002564
查森-兰德尔,天津,北京,2019-11-03 19:35,81:103(已结束),0,30.9,2,10,3,8,2,2,0,6,5,0,0,3,4,14,100026412
朱彦西,北京,天津,2019-11-03 19:35,81:103(已结束),1,35.3,5,7,2,4,0,0,1,9,1,2,0,0,2,19,501234
加尼尤,北京,天津,2019-11-03 19:35,81:103(已结束),1,7.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,502650
翟晓川,北京,天津,2019-11-03 19:35,81:103(已结束),1,33.3,0,1,4,6,8,8,1,6,3,1,2,3,3,16,501346
方硕,北京,天津,2019-11-03 19:35,81:103(已结束),1,30.6,3,9,4,6,1,1,0,2,3,2,0,0,3,18,500519
林书豪,北京,天津,2019-11-03 19:35,81:103(已结束),1,35.8,0,5,7,13,11,12,2,6,9,2,0,4,4,25,100026408
常林,北京,天津,2019-11-03 19:35,81:103(已结束),0,11.7,0,0,0,1,0,0,1,1,0,0,0,0,2,0,400102
贾斯丁-汉密尔顿,北京,天津,2019-11-03 19:35,81:103(已结束),0,32.2,0,2,4,9,6,6,6,10,2,0,3,3,2,14,504139
