RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"LeBron James, SF",LAL,39,34.9,5.32,4.95,10.27,9.63
2,"Giannis Antetokounmpo, PF",MIL,39,30.6,6.04,2.11,8.15,7.28
3,"James Harden, SG",HOU,39,37.2,5.63,1.42,7.05,7.53
4,"Kawhi Leonard, SF",LAC,31,32.1,2.43,3.90,6.34,4.69
5,"Nikola Jokic, C",DEN,40,31.2,2.14,2.38,4.52,4.10
6,"Jimmy Butler, SF",MIA,35,35.1,0.91,3.57,4.48,4.14
7,"Dennis Schroder, PG",OKC,40,30.7,1.64,2.82,4.46,4.24
8,"Pascal Siakam, PF",TOR,29,36.2,2.63,1.83,4.46,3.63
9,"De'Anthony Melton, SG",MEM,30,17.3,3.05,1.18,4.23,1.74
10,"Donte DiVincenzo, SG",MIL,38,22.5,1.73,2.39,4.12,2.82
11,"Paul Millsap, PF",DEN,32,24.9,0.31,3.69,4.01,2.44
12,"Alex Caruso, SG",LAL,38,19.2,-0.23,4.03,3.80,2.19
13,"Jayson Tatum, PF",BOS,38,34.0,0.44,3.29,3.73,3.88
14,"Rudy Gobert, C",UTAH,38,34.3,0.39,3.31,3.70,3.78
15,"Luka Doncic, SF",DAL,37,32.8,4.70,-1.22,3.48,3.30
16,"Terence Davis, SG",TOR,40,17.0,1.42,1.91,3.34,1.70
17,"Domantas Sabonis, PF",IND,38,34.3,-0.12,3.44,3.32,3.41
18,"Ivica Zubac, C",LAC,41,17.5,0.55,2.71,3.26,1.90
19,"Ben Simmons, PG",PHI,40,35.8,2.25,0.91,3.16,3.69
20,"Damian Lillard, PG",POR,40,36.7,3.57,-0.42,3.14,3.67
21,"Devonte' Graham, PG",CHA,44,35.2,1.40,1.68,3.08,3.61
22,"Khris Middleton, SF",MIL,35,28.3,2.99,0.06,3.05,2.53
23,"Davis Bertans, SF",WSH,31,29.4,4.00,-0.96,3.04,2.38
24,"Jalen Brunson, PG",DAL,41,16.8,1.03,2.00,3.03,1.68
25,"Donovan Mitchell, SG",UTAH,39,34.5,1.61,1.31,2.93,3.22
26,"Ben McLemore, SG",HOU,40,24.2,2.88,-0.06,2.82,2.25
27,"Bojan Bogdanovic, SF",UTAH,39,33.2,2.29,0.51,2.81,3.02
28,"Joel Embiid, C",PHI,31,31.1,0.05,2.71,2.76,2.23
29,"Eric Bledsoe, PG",MIL,34,26.1,2.85,-0.11,2.74,2.18
30,"Patrick Beverley, PG",LAC,33,28.9,-0.26,2.92,2.66,2.17
31,"David Nwaba, G",BKN,20,13.4,0.48,2.17,2.65,0.63
32,"Tobias Harris, SF",PHI,42,34.1,-0.35,2.96,2.61,3.12
33,"Ricky Rubio, PG",PHX,33,32.2,1.54,1.08,2.61,2.47
34,"Chris Chiozza, PG",WSH,10,12.3,0.24,2.35,2.59,0.28
35,"Montrezl Harrell, PF",LAC,40,29.0,2.49,0.06,2.55,2.63
36,"E'Twaun Moore, SG",NO,29,21.3,0.58,1.94,2.51,1.37
37,"Lonnie Walker IV, SG",SA,31,11.7,0.48,1.90,2.38,0.76
38,"Kemba Walker, PG",BOS,35,31.7,3.90,-1.53,2.37,2.26
39,"CJ McCollum, SG",POR,41,36.2,1.86,0.51,2.36,2.92
40,"Dwight Powell, PF",DAL,38,26.9,0.39,1.95,2.34,1.98
41,"Kris Dunn, PG",CHI,42,24.9,-1.32,3.65,2.33,2.13
42,"Bam Adebayo, C",MIA,40,34.4,-0.13,2.46,2.32,2.72
43,"Paul George, SF",LAC,26,30.7,2.20,0.12,2.32,1.70
44,"Joe Ingles, SF",UTAH,40,29.8,0.07,2.21,2.28,2.35
45,"Shaquille Harrison, PG",CHI,25,7.3,-0.05,2.31,2.26,0.36
46,"Nikola Vucevic, C",ORL,30,31.6,0.82,1.43,2.24,1.83
47,"Kyrie Irving, PG",BKN,14,32.9,3.79,-1.56,2.23,0.83
48,"Enes Kanter, C",BOS,32,18.4,1.22,0.99,2.21,1.12
49,"OG Anunoby, SF",TOR,39,30.2,-0.04,2.23,2.19,2.19
50,"Will Barton, SG",DEN,37,33.1,-0.05,2.23,2.18,2.23
51,"Chris Paul, PG",OKC,41,31.9,1.00,1.16,2.16,2.46
52,"Malcolm Brogdon, PG",IND,29,30.7,1.18,0.96,2.13,1.64
53,"Kyle Lowry, PG",TOR,29,38.3,1.29,0.84,2.13,2.02
54,"Karl-Anthony Towns, C",MIN,23,33.9,4.81,-2.69,2.12,1.57
55,"Marc Gasol, C",TOR,28,28.4,-0.80,2.92,2.12,1.49
56,"Anthony Davis, PF",LAL,35,35.2,1.66,0.44,2.10,2.35
57,"Jamal Murray, PG",DEN,40,32.0,0.09,1.99,2.07,2.28
58,"Trey Burke, PG",PHI,22,14.1,0.65,1.38,2.03,0.54
59,"George Hill, PG",MIL,39,21.2,2.18,-0.17,2.02,1.52
60,"Richaun Holmes, PF",SAC,37,29.4,-0.54,2.49,1.95,1.92
61,"Patty Mills, PG",SA,39,23.2,2.40,-0.46,1.94,1.65
62,"Steven Adams, C",OKC,38,27.7,1.00,0.93,1.93,1.85
63,"Devin Booker, SG",PHX,37,36.1,3.61,-1.69,1.92,2.40
64,"Al Horford, C",PHI,38,30.9,-0.34,2.26,1.92,2.04
65,"Jakob Poeltl, C",SA,39,17.5,1.26,0.65,1.92,1.22
66,"Denzel Valentine, SG",CHI,23,11.8,0.50,1.40,1.90,0.48
67,"Aaron Holiday, PG",IND,39,23.7,1.03,0.83,1.86,1.56
68,"Jarrett Allen, C",BKN,40,26.6,0.73,1.12,1.85,1.79
69,"Danny Green, SG",LAL,40,25.1,0.49,1.23,1.71,1.59
70,"Robert Covington, PF",MIN,39,28.7,1.15,0.53,1.67,1.83
71,"Spencer Dinwiddie, PG",BKN,40,31.1,2.66,-0.99,1.67,1.93
72,"Deandre Ayton, C",PHX,10,30.5,0.99,0.65,1.64,0.44
73,"Tim Hardaway Jr., SG",DAL,38,25.9,1.08,0.55,1.63,1.51
74,"Brandon Ingram, SF",NO,36,34.3,2.35,-0.74,1.61,2.03
75,"Isaiah Hartenstein, C",HOU,18,13.2,1.84,-0.24,1.60,0.37
76,"D.J. Augustin, PG",ORL,39,26.0,-1.55,3.10,1.55,1.51
77,"Trae Young, PG",ATL,37,35.2,5.17,-3.65,1.53,2.01
78,"Wesley Matthews, SG",MIL,39,24.1,0.12,1.40,1.52,1.42
79,"Jaylen Brown, SG",BOS,35,33.4,0.65,0.86,1.52,1.71
80,"Mason Plumlee, PF",DEN,40,17.4,0.31,1.19,1.49,0.98
81,"Fred VanVleet, SG",TOR,31,36.3,0.19,1.30,1.49,1.70
82,"Josh Hart, SG",NO,34,28.4,0.38,1.09,1.47,1.49
83,"J.J. Barea, PG",DAL,12,15.6,1.16,0.31,1.47,0.26
84,"Justise Winslow, SF",MIA,11,32.0,-0.17,1.61,1.44,0.53
85,"Julius Randle, PF",NY,39,32.0,-0.17,1.60,1.44,1.73
86,"Lou Williams, SG",LAC,38,30.1,3.36,-1.97,1.39,1.68
87,"Kristaps Porzingis, PF",DAL,31,31.2,0.16,1.22,1.38,1.39
88,"Grant Williams, PF",BOS,37,15.3,-0.64,2.01,1.38,0.79
89,"Kendrick Nunn, SG",MIA,40,30.2,-0.23,1.60,1.37,1.64
90,"Russell Westbrook, PG",HOU,34,35.4,2.82,-1.47,1.35,1.74
91,"Hassan Whiteside, C",POR,38,29.9,0.43,0.92,1.35,1.46
92,"Marcus Morris Sr., SF",NY,33,31.7,0.46,0.88,1.34,1.40
93,"Ersan Ilyasova, PF",MIL,38,16.8,1.96,-0.63,1.34,0.89
94,"Shabazz Napier, PG",MIN,27,21.8,0.55,0.78,1.33,0.82
95,"Brandon Clarke, SF",MEM,35,21.3,1.89,-0.57,1.32,1.05
96,"Tomas Satoransky, SG",CHI,42,28.8,-0.01,1.32,1.31,1.64
97,"Boban Marjanovic, C",DAL,21,10.0,1.84,-0.54,1.30,0.25
98,"Stephen Curry, PG",GS,4,28.0,3.56,-2.28,1.28,0.17
99,"Gorgui Dieng, C",MIN,36,18.2,-1.55,2.81,1.27,0.85
100,"JaVale McGee, C",LAL,41,17.0,-0.14,1.40,1.26,0.89
101,"Chris Boucher, PF",TOR,36,13.2,0.27,0.96,1.23,0.61
102,"Christian Wood, PF",DET,38,16.8,1.16,0.07,1.22,0.83
103,"Zach LaVine, PG",CHI,42,33.9,1.71,-0.53,1.19,1.81
104,"Maxi Kleber, PF",DAL,40,24.9,-0.24,1.41,1.17,1.20
105,"Jonathan Isaac, PF",ORL,32,29.7,-0.56,1.73,1.16,1.20
106,"Naz Mitrou-Long, SG",IND,3,14.3,0.32,0.83,1.16,0.05
107,"Bogdan Bogdanovic, SG",SAC,30,28.1,-0.55,1.69,1.14,1.02
108,"Gordon Hayward, SF",BOS,23,31.6,1.38,-0.24,1.14,0.89
109,"Mikal Bridges, SF",PHX,40,22.8,-0.43,1.57,1.14,1.13
110,"Josh Richardson, SG",PHI,34,32.4,-0.21,1.32,1.11,1.30
111,"Daniel Gafford, PF",CHI,32,12.8,-0.04,1.14,1.10,0.51
112,"Jrue Holiday, SG",NO,34,35.6,1.45,-0.35,1.10,1.54
113,"Markelle Fultz, PG",ORL,40,27.0,0.06,1.04,1.10,1.30
114,"Jonas Valanciunas, C",MEM,38,25.3,0.69,0.39,1.08,1.17
115,"Doug McDermott, SF",IND,41,20.6,1.00,0.08,1.08,1.01
116,"Royce O'Neale, SF",UTAH,40,29.4,-0.40,1.48,1.08,1.39
117,"Rudy Gay, SF",SA,39,22.5,0.63,0.44,1.07,1.07
118,"Derrick Rose, PG",DET,36,25.8,3.27,-2.22,1.05,1.07
119,"Isaac Bonga, SG",WSH,35,16.9,-1.00,2.05,1.04,0.69
120,"Nemanja Bjelica, PF",SAC,41,27.5,0.37,0.67,1.04,1.27
121,"Chris Clemons, PG",HOU,24,9.2,1.84,-0.80,1.03,0.27
122,"Duncan Robinson, SF",MIA,40,27.6,0.83,0.17,1.00,1.22
123,"Damyean Dotson, SG",NY,35,16.3,-0.38,1.37,0.99,0.63
124,"Skal Labissiere, PF",POR,33,17.2,0.38,0.61,0.98,0.64
125,"Jaxson Hayes, C",NO,38,20.3,1.11,-0.12,0.98,0.94
126,"Naz Reid, C",MIN,11,13.2,0.83,0.12,0.96,0.16
127,"Derrick Favors, PF",NO,23,23.5,0.94,0.01,0.95,0.63
128,"D'Angelo Russell, SG",GS,24,31.6,2.48,-1.54,0.94,0.84
129,"Andre Drummond, C",DET,40,33.6,-0.36,1.29,0.94,1.41
130,"Garrison Mathews, SG",WSH,15,13.1,1.01,-0.09,0.92,0.22
131,"Sterling Brown, SG",MIL,30,15.7,-0.37,1.27,0.91,0.51
132,"Dillon Brooks, SG",MEM,41,28.0,0.39,0.49,0.88,1.24
133,"Wendell Carter Jr., C",CHI,37,30.0,-2.28,3.10,0.81,1.15
134,"John Collins, PF",ATL,15,30.5,-0.64,1.43,0.79,0.45
135,"Lonzo Ball, PG",NO,33,30.2,1.03,-0.24,0.79,1.06
136,"Ja Morant, PG",MEM,35,29.7,1.30,-0.55,0.74,1.02
137,"Rondae Hollis-Jefferson, SF",TOR,32,20.2,-0.46,1.20,0.74,0.61
138,"Mike Scott, PF",PHI,42,18.6,-0.04,0.75,0.71,0.74
139,"Avery Bradley, PG",LAL,27,23.6,-1.18,1.86,0.68,0.58
140,"T.J. Warren, SF",IND,41,32.3,-0.80,1.45,0.65,1.18
141,"Trey Lyles, PF",SA,39,17.3,0.10,0.55,0.65,0.60
142,"Dorian Finney-Smith, SF",DAL,41,29.4,0.52,0.13,0.65,1.04
143,"Marcus Smart, PG",BOS,30,31.2,-1.03,1.67,0.65,0.84
144,"Justin Holiday, SF",IND,41,25.3,0.01,0.62,0.63,0.92
145,"Matt Thomas, SG",TOR,15,12.0,0.23,0.40,0.62,0.15
146,"Joe Harris, SG",BKN,40,31.7,0.20,0.42,0.62,1.13
147,"Luke Kennard, SG",DET,28,32.9,0.25,0.36,0.60,0.78
148,"Charlie Brown Jr., SG",ATL,5,5.4,-0.14,0.73,0.60,0.02
149,"Rodions Kurucs, SF",BKN,25,12.9,-0.26,0.85,0.59,0.27
150,"Delon Wright, PG",DAL,39,20.6,0.16,0.38,0.54,0.66
151,"Norman Powell, SG",TOR,29,28.9,0.79,-0.26,0.53,0.70
152,"Mfiondu Kabengele, PF",LAC,10,4.4,0.52,-0.00,0.52,0.04
153,"Daniel Theis, PF",BOS,35,21.8,-1.40,1.92,0.51,0.61
154,"Rodney Hood, SG",POR,21,29.5,0.82,-0.31,0.51,0.53
155,"Patrick Patterson, PF",LAC,36,13.8,-0.48,0.97,0.50,0.42
156,"Willie Cauley-Stein, C",GS,37,22.6,-2.07,2.56,0.49,0.67
157,"Trevor Ariza, SF",SAC,32,24.7,-1.69,2.16,0.48,0.62
158,"James Johnson, PF",MIA,10,13.7,1.03,-0.58,0.45,0.10
159,"Shai Gilgeous-Alexander, SG",OKC,41,35.4,0.38,0.07,0.45,1.12
160,"Jaylen Nowell, SG",MIN,7,11.6,0.15,0.30,0.45,0.07
161,"De'Aaron Fox, PG",SAC,23,31.2,2.37,-1.92,0.45,0.55
162,"Meyers Leonard, PF",MIA,40,20.2,-0.86,1.30,0.44,0.60
163,"Kyle Kuzma, PF",LAL,32,24.4,0.41,0.04,0.44,0.60
164,"Evan Fournier, SG",ORL,40,31.3,0.57,-0.16,0.41,0.95
165,"Jake Layman, SF",MIN,14,26.4,0.59,-0.18,0.41,0.30
166,"Danilo Gallinari, PF",OKC,35,30.4,1.01,-0.62,0.39,0.77
167,"Derrick White, PG",SA,37,23.5,-0.05,0.44,0.39,0.65
168,"Jordan Clarkson, PG",CLE/UTAH,39,23.6,1.13,-0.74,0.38,0.65
169,"Terrence Ross, SG",ORL,39,25.5,-1.13,1.49,0.36,0.69
170,"Ryan Broekhoff, SG",DAL,10,7.7,0.89,-0.53,0.36,0.06
171,"Kelan Martin, SF",MIN,17,17.4,-1.16,1.52,0.36,0.22
172,"Aaron Gordon, PF",ORL,35,31.3,-1.32,1.68,0.36,0.76
173,"Chimezie Metu, PF",SA,11,3.7,-0.06,0.40,0.34,0.03
174,"Brook Lopez, C",MIL,40,26.2,-0.56,0.90,0.34,0.75
175,"Reggie Jackson, PG",DET,2,18.0,0.18,0.15,0.33,0.03
176,"Cody Martin, SF",CHA,31,14.3,-0.14,0.46,0.32,0.31
177,"Moritz Wagner, SF",WSH,21,20.4,1.69,-1.38,0.32,0.32
178,"Michael Frazier, SG",HOU,2,7.0,0.31,0.01,0.31,0.01
179,"Elie Okobo, SF",PHX,31,11.8,0.93,-0.63,0.30,0.24
180,"Tristan Thompson, C",CLE,39,31.7,-1.10,1.38,0.28,0.81
181,"Damion Lee, SG",GS,26,26.8,0.45,-0.17,0.28,0.48
182,"Clint Capela, C",HOU,33,33.6,0.19,0.05,0.24,0.70
183,"Justin James, SG",SAC,22,8.7,-0.53,0.76,0.23,0.12
184,"Justin Robinson, G",WSH,9,5.4,-0.23,0.44,0.21,0.03
185,"Bruce Brown, SG",DET,41,27.3,-1.76,1.95,0.20,0.66
186,"Frank Mason III, PG",MIL,4,4.5,0.25,-0.07,0.18,0.01
187,"Jabari Parker, PF",ATL,32,26.2,2.60,-2.42,0.18,0.52
188,"Monte Morris, PG",DEN,40,18.0,-0.21,0.38,0.17,0.40
189,"Bruno Fernando, PF",ATL,36,11.9,-1.14,1.28,0.14,0.25
190,"Bismack Biyombo, C",CHA,41,19.6,-2.09,2.23,0.14,0.40
191,"Matthew Dellavedova, PG",CLE,38,12.9,-1.20,1.34,0.14,0.28
192,"Romeo Langford, SG",BOS,11,9.6,-0.86,1.00,0.14,0.05
193,"Gary Harris, SG",DEN,37,32.9,-1.83,1.96,0.13,0.66
194,"Langston Galloway, SG",DET,42,25.1,1.16,-1.06,0.10,0.56
195,"Aron Baynes, C",PHX,31,23.5,0.76,-0.66,0.10,0.40
196,"Blake Griffin, PF",DET,18,28.4,0.18,-0.12,0.06,0.25
197,"Goran Dragic, PG",MIA,30,27.9,2.15,-2.09,0.06,0.43
198,"Seth Curry, SG",DAL,39,22.5,-0.16,0.20,0.04,0.42
199,"Alex Len, C",ATL,38,18.7,0.35,-0.31,0.04,0.38
200,"Buddy Hield, SG",SAC,41,34.3,1.70,-1.67,0.03,0.69
201,"Dwight Howard, C",LAL,41,19.8,0.02,0.01,0.03,0.38
202,"Hamidou Diallo, SG",OKC,21,19.0,-0.65,0.67,0.02,0.20
203,"Tim Frazier, PG",DET,24,13.3,-0.81,0.83,0.02,0.15
204,"PJ Washington, PF",CHA,39,30.4,-1.34,1.37,0.02,0.53
205,"Yogi Ferrell, PG",SAC,30,12.9,-1.01,1.03,0.02,0.18
206,"Ky Bowman, PG",GS,36,22.5,-1.59,1.61,0.02,0.40
207,"Ryan Anderson, F",HOU,2,7.0,0.33,-0.32,0.01,0.01
208,"Brad Wanamaker, PG",BOS,38,18.9,-0.65,0.66,0.01,0.34
209,"Henry Ellenson, F",BKN,5,3.0,-0.32,0.32,0.01,0.01
210,"Cheick Diallo, PF",PHX,24,9.0,0.36,-0.38,-0.01,0.10
211,"Brandon Goodwin, PG",ATL,12,13.6,-0.12,0.10,-0.02,0.07
212,"Jerome Robinson, SG",LAC,33,11.5,-0.15,0.12,-0.03,0.18
213,"Elfrid Payton, PG",NY,23,25.1,-0.02,-0.02,-0.04,0.25
214,"Furkan Korkmaz, SG",PHI,41,20.3,-0.23,0.18,-0.05,0.37
215,"Taurean Prince, PF",BKN,40,30.4,0.24,-0.32,-0.07,0.51
216,"Reggie Bullock, SG",NY,8,23.6,0.38,-0.45,-0.08,0.07
217,"Mike Muscala, PF",OKC,27,11.9,-1.43,1.34,-0.09,0.12
218,"Gary Payton II, PG",WSH,12,22.1,-0.50,0.40,-0.10,0.10
219,"Dante Exum, PG",CLE/UTAH,19,11.7,-0.25,0.15,-0.10,0.08
220,"Andrew Wiggins, SF",MIN,32,34.7,1.27,-1.37,-0.10,0.46
221,"Harrison Barnes, SF",SAC,41,35.1,-1.31,1.18,-0.14,0.55
222,"Jordan McLaughlin, PG",MIN,6,15.7,0.46,-0.60,-0.14,0.04
223,"Dragan Bender, SF",MIL,4,12.5,0.10,-0.25,-0.14,0.01
224,"Bruno Caboclo, SF",MEM,22,8.7,-0.82,0.67,-0.15,0.08
225,"Melvin Frazier Jr., SG",ORL,11,3.9,-0.27,0.13,-0.15,0.02
226,"Michael Carter-Williams, PG",ORL,19,16.3,-0.39,0.23,-0.16,0.11
227,"Myles Turner, C",IND,33,29.5,-0.59,0.42,-0.17,0.35
228,"Quinn Cook, PG",LAL,27,13.2,-0.25,0.08,-0.17,0.12
229,"Zach Collins, PF",POR,3,28.7,-0.14,-0.05,-0.19,0.03
230,"Vince Carter, SG",ATL,34,15.2,-1.37,1.18,-0.19,0.18
231,"Jordan McRae, SG",WSH,24,23.0,1.54,-1.74,-0.20,0.20
232,"Lauri Markkanen, PF",CHI,42,30.2,0.05,-0.25,-0.20,0.44
233,"Ish Smith, PG",WSH,40,26.1,0.78,-0.98,-0.21,0.36
234,"Carmelo Anthony, PF",POR,27,31.9,-0.24,0.02,-0.21,0.26
235,"Anzejs Pasecniks, C",WSH,15,20.4,0.29,-0.51,-0.22,0.10
